PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=0.496 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=0.183 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=3.05 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=13.4 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=2.37 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=0.138 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=0.211 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=0.119 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=0.107 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=1.97 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=0.099 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=0.805 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=1.75 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=1.14 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=1.48 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=0.450 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=5.61 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=1.33 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=1.36 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=1.01 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=0.143 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=0.120 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=0.169 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=0.085 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=3.25 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=12.4 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=0.156 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=0.205 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=0.577 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=0.199 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=0.222 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=0.208 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=5.61 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=1.74 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=1.78 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=0.249 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=0.217 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=0.243 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=3.11 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=6.45 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=0.137 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=0.828 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=0.156 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=0.259 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=0.201 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=1.96 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=0.220 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=6.06 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=0.280 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=1.73 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=0.127 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=0.327 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=1.33 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=0.162 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=0.121 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=18.3 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=0.131 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=1.04 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=0.138 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=3.09 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=1.53 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=0.284 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=0.152 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=2.27 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=0.209 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=1.81 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=0.149 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=4.36 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=0.211 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=0.181 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=3.09 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=1.04 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=0.277 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=0.204 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=5.98 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=0.697 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=0.980 ms
