PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=0.401 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=0.304 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=9.75 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=0.167 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=0.414 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=0.178 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=0.306 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=0.468 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=0.456 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=0.465 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=0.431 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=0.352 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=0.426 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=0.270 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=3.10 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=0.167 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=0.146 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=0.140 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=0.140 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=0.143 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=0.137 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=0.199 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=0.132 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=0.340 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=16.2 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=0.116 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=0.407 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=0.382 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=0.350 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=0.380 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=0.172 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=0.347 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=0.396 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=0.352 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=0.131 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=0.208 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=0.440 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=0.484 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=0.645 ms
